precio,superficie,baños,habitaciones,precio/metro,Barrio
1750,80,1,2,22,El Putxet-El Farró 
1100,84,2,3,13,Sant Gervasi-Galvany 
1590,109,2,3,15,El Putxet-El Farró 
875,101,1,3,9,El Putxet-El Farró 
1400,45,1,1,31,Sant Gervasi-La Bonanova 
700,42,1,1,17,Sant Gervasi-La Bonanova 
3640,152,2,3,24,Les Tres Torres 
640,41,1,1,16,Sarrià 
1300,78,1,3,17,Sant Gervasi-Galvany 
1350,124,1,3,11,Sant Gervasi-La Bonanova 
800,55,1,2,15,Sant Gervasi-Galvany 
1700,100,2,3,17,Sant Gervasi-Galvany 
3813,116,2,3,33,Sarrià 
1400,116,2,2,12,Sant Gervasi-La Bonanova 
950,70,1,3,14,Sarrià 
3750,105,2,2,36,Sarrià 
1950,120,2,3,16,Sarrià 
1500,140,3,3,11,El Putxet-El Farró 
3427,129,3,4,27,Sarrià 
1250,48,1,2,26,Les Tres Torres 
2568,88,2,2,29,Sarrià 
900,78,1,3,12,El Putxet-El Farró 
1500,95,2,4,16,El Putxet-El Farró 
1475,140,2,4,11,Sant Gervasi-Galvany 
800,55,1,2,15,Sarrià 
990,80,2,3,12,Sant Gervasi-La Bonanova 
1150,49,1,1,23,El Putxet-El Farró 
1000,75,2,4,13,Sant Gervasi-Galvany 
1900,96,1,2,20,Sarrià 
3000,136,2,3,22,Sant Gervasi-Galvany 
3000,250,3,4,12,Sant Gervasi-Galvany 
990,76,1,3,13,Sarrià 
2886,115,2,3,25,Sarrià 
1220,52,1,1,23,Sant Gervasi-Galvany 
1800,150,2,3,12,Sarrià 
3892,125,3,4,31,Sarrià 
1250,50,1,2,25,Les Tres Torres 
2000,90,2,3,22,Sant Gervasi-Galvany 
980,78,1,3,13,Sant Gervasi-La Bonanova 
1200,70,1,2,17,Sant Gervasi-Galvany 
915,72,1,3,13,Sarrià 
1750,97,3,3,18,Sant Gervasi-Galvany 
1000,40,1,1,25,Les Tres Torres 
1550,100,2,3,16,Les Tres Torres 
1600,102,2,3,16,Sarrià 
3600,338,4,5,11,Les Tres Torres 
1400,120,2,4,12,Sant Gervasi-La Bonanova 
1700,96,2,4,18,El Putxet-El Farró 
850,60,1,3,14,El Putxet-El Farró 
2800,187,3,4,15,Sant Gervasi-Galvany 
3950,180,3,3,22,Sant Gervasi-Galvany 
3300,200,4,5,17,Sarrià 
1695,79,1,1,21,Sant Gervasi-Galvany 
750,60,1,2,13,El Putxet-El Farró 
1250,128,2,3,10,El Putxet-El Farró 
1150,85,1,4,14,Sant Gervasi-Galvany 
6500,375,6,5,17,Sant Gervasi-Galvany 
1200,58,1,1,21,Sarrià 
1150,84,2,3,14,Sant Gervasi-Galvany 
800,60,1,2,13,Sant Gervasi-Galvany 
1350,110,2,4,12,Sant Gervasi-Galvany 
1450,80,1,2,18,Sant Gervasi-La Bonanova 
750,77,1,2,10,Sant Gervasi-La Bonanova 
1075,63,1,2,17,El Putxet-El Farró 
950,70,1,3,14,Sarrià 
3115,116,2,3,27,Sant Gervasi-La Bonanova 
1450,95,2,2,15,Sant Gervasi-Galvany 
2430,113,2,5,22,Les Tres Torres 
4900,280,4,5,18,Sant Gervasi-Galvany 
1490,83,2,1,18,Sant Gervasi-La Bonanova 
1600,140,2,3,11,El Putxet-El Farró 
1500,65,1,2,23,Sant Gervasi-Galvany 
1900,120,2,4,16,Sant Gervasi-Galvany 
775,35,1,1,22,Sarrià 
1650,50,1,1,33,Les Tres Torres 
1300,98,2,3,13,El Putxet-El Farró 
3800,253,3,4,15,Sant Gervasi-Galvany 
1000,64,1,2,16,Sant Gervasi-Galvany 
1600,70,2,2,23,El Putxet-El Farró 
1500,140,3,3,11,El Putxet-El Farró 
2000,80,1,1,25,Sant Gervasi-Galvany 
1180,83,1,2,14,Sant Gervasi-Galvany 
4900,276,4,6,18,Sarrià 
1900,119,2,2,16,Sant Gervasi-Galvany 
1250,72,1,3,17,Sarrià 
1400,80,2,3,18,El Putxet-El Farró 
1400,65,1,2,22,Sant Gervasi-Galvany 
1550,144,2,5,11,El Putxet-El Farró 
1550,144,2,5,11,Sant Gervasi-Galvany 
890,50,1,1,18,Sant Gervasi-La Bonanova 
1300,115,2,3,11,El Putxet-El Farró 
2600,255,4,5,10,Sant Gervasi-La Bonanova 
1650,93,1,2,18,Sant Gervasi-Galvany 
1500,149,1,1,10,El Putxet-El Farró 
3400,149,2,3,23,Sant Gervasi-Galvany 
1100,55,1,2,20,Sant Gervasi-Galvany 
2300,149,3,5,15,Sant Gervasi-Galvany 
1570,108,2,3,15,Les Tres Torres 
1500,140,3,3,11,El Putxet-El Farró 
1950,166,4,3,12,Sant Gervasi-Galvany 
1100,50,1,2,22,Sant Gervasi-La Bonanova 
1150,84,1,3,14,Sant Gervasi-Galvany 
3250,155,3,4,21,Sant Gervasi-Galvany 
635,40,1,1,16,El Putxet-El Farró 
2750,275,4,5,10,Les Tres Torres 
1850,100,2,2,19,Sarrià 
1600,121,2,3,13,Sant Gervasi-Galvany 
1850,195,2,5,9,Sant Gervasi-La Bonanova 
1600,140,2,3,11,El Putxet-El Farró 
1500,85,2,2,18,Sant Gervasi-Galvany 
875,50,1,1,18,Sant Gervasi-La Bonanova 
1550,80,1,3,19,Sant Gervasi-Galvany 
1150,95,2,3,12,El Putxet-El Farró 
2125,115,3,3,18,Sant Gervasi-Galvany 
2750,177,3,5,16,Sant Gervasi-Galvany 
700,77,1,2,9,El Putxet-El Farró 
1850,88,2,3,21,Sant Gervasi-Galvany 
1087,84,1,3,13,Sant Gervasi-La Bonanova 
980,76,1,1,13,El Putxet-El Farró 
2300,139,2,3,17,Sarrià 
1700,112,2,4,15,Sant Gervasi-La Bonanova 
1125,75,1,2,15,Sant Gervasi-Galvany 
2250,172,4,3,13,El Putxet-El Farró 
3300,274,3,5,12,Sant Gervasi-Galvany 
1750,145,2,6,12,El Putxet-El Farró 
890,50,1,1,18,Sant Gervasi-La Bonanova 
2950,150,2,3,20,Les Tres Torres 
2250,160,3,3,14,Les Tres Torres 
1400,85,2,3,16,El Putxet-El Farró 
1100,100,1,4,11,El Putxet-El Farró 
1250,105,2,3,12,El Putxet-El Farró 
1400,55,1,2,25,Sant Gervasi-Galvany 
1550,80,1,3,19,Sant Gervasi-Galvany 
4900,190,4,4,26,Les Tres Torres 
950,70,1,2,14,Sarrià 
960,70,1,2,14,El Putxet-El Farró 
1300,60,1,2,22,El Putxet-El Farró 
2200,190,2,5,12,Sant Gervasi-Galvany 
2223,66,1,1,34,Sarrià 
1100,80,2,3,14,Sant Gervasi-La Bonanova 
3975,243,3,4,16,Sant Gervasi-Galvany 
1400,100,2,4,14,Sarrià 
2850,145,2,3,20,Les Tres Torres 
1200,70,1,2,17,Sant Gervasi-La Bonanova 
725,48,1,2,15,El Putxet-El Farró 
3803,124,3,4,31,Sarrià 
900,47,1,1,19,Sant Gervasi-Galvany 
1200,115,2,4,10,El Putxet-El Farró 
1075,63,1,2,17,El Putxet-El Farró 
5300,250,6,4,21,Sant Gervasi-La Bonanova 
1300,65,1,2,20,Sant Gervasi-Galvany 
4000,300,4,5,13,Sant Gervasi-Galvany 
1400,55,1,1,25,Sant Gervasi-Galvany 
1900,120,2,4,16,Sant Gervasi-Galvany 
2950,257,3,6,11,Sant Gervasi-Galvany 
3850,285,4,5,14,Les Tres Torres 
1324,105,2,3,13,Sant Gervasi-Galvany 
900,50,1,1,18,El Putxet-El Farró 
1499,61,1,1,25,Sarrià 
1300,117,2,3,11,Sant Gervasi-Galvany 
1550,120,2,3,13,Les Tres Torres 
1125,75,1,3,15,El Putxet-El Farró 
1300,115,2,3,11,El Putxet-El Farró 
1400,85,2,3,16,El Putxet-El Farró 
1150,66,1,2,17,El Putxet-El Farró 
1550,100,2,3,16,Les Tres Torres 
1550,130,3,3,12,El Putxet-El Farró 
1700,100,2,3,17,Les Tres Torres 
2451,101,2,2,24,Sant Gervasi-La Bonanova 
5000,275,5,5,18,Sarrià 
1250,86,2,3,15,Sarrià 
1500,110,2,4,14,El Putxet-El Farró 
800,46,1,1,17,Sant Gervasi-La Bonanova 
950,65,1,2,15,El Putxet-El Farró 
900,55,1,1,16,El Putxet-El Farró 
10000,488,5,6,20,Sant Gervasi-La Bonanova 
1395,52,1,1,27,Sant Gervasi-Galvany 
1100,60,1,3,18,Sant Gervasi-Galvany 
1750,80,1,2,22,El Putxet-El Farró 
850,65,1,2,13,Sant Gervasi-La Bonanova 
1200,55,1,2,22,Sarrià 
1100,89,1,3,12,Sant Gervasi-Galvany 
3000,123,2,3,24,Sant Gervasi-Galvany 
1350,107,2,3,13,Sant Gervasi-La Bonanova 
700,66,1,3,11,Sant Gervasi-La Bonanova 
1500,100,2,3,15,El Putxet-El Farró 
990,76,1,2,13,Sarrià 
1200,60,2,2,20,El Putxet-El Farró 
2500,200,3,4,13,Sant Gervasi-Galvany 
3421,116,2,3,29,Sarrià 
3500,167,2,3,21,El Putxet-El Farró 
3287,124,2,3,27,Sarrià 
1400,50,1,1,28,Sant Gervasi-Galvany 
1400,101,2,2,14,Sant Gervasi-Galvany 
1000,77,1,2,13,Sant Gervasi-La Bonanova 
1650,105,2,3,16,Sant Gervasi-La Bonanova 
1080,85,1,3,13,Sant Gervasi-La Bonanova 
1650,95,1,1,17,El Putxet-El Farró 
15000,475,4,4,32,Sant Gervasi-Galvany 
935,57,1,1,16,Sant Gervasi-Galvany 
3850,235,3,5,16,Sant Gervasi-Galvany 
778,54,1,2,14,El Putxet-El Farró 
930,46,1,2,20,Sant Gervasi-Galvany 
900,60,1,2,15,Sarrià 
1090,86,2,3,13,Sant Gervasi-Galvany 
1180,85,1,2,14,Sant Gervasi-Galvany 
3000,216,3,3,14,Sant Gervasi-Galvany 
1950,127,2,4,15,Sant Gervasi-Galvany 
1100,80,1,3,14,Sant Gervasi-Galvany 
3160,168,2,5,19,Sarrià 
899,55,1,1,16,El Putxet-El Farró 
1600,127,2,4,13,Sarrià 
1550,80,1,3,19,Les Tres Torres 
800,70,1,2,11,Sant Gervasi-Galvany 
1050,73,1,2,14,Sant Gervasi-Galvany 
1600,140,2,3,11,El Putxet-El Farró 
