precio,superficie,baños,habitaciones,precio/metro,Barrio
975,50,1,1,20,La Nova Esquerra de l'Eixample 
1200,114,2,3,11,La Sagrada Família 
1000,93,2,4,11,Sant Antoni 
990,71,1,2,14,El Fort Pienc 
1290,90,2,3,14,La Sagrada Família 
635,32,1,1,20,L'Antiga Esquerra de l'Eixample 
2445,160,1,5,15,La Dreta de l'Eixample 
1000,86,2,4,12,La Nova Esquerra de l'Eixample 
1200,76,1,2,16,L'Antiga Esquerra de l'Eixample 
975,58,1,1,17,La Dreta de l'Eixample 
2000,105,2,3,19,La Dreta de l'Eixample 
878,45,1,1,20,La Nova Esquerra de l'Eixample 
1050,65,1,2,16,La Nova Esquerra de l'Eixample 
1300,130,2,3,10,La Dreta de l'Eixample 
1100,87,2,3,13,La Sagrada Família 
2800,170,2,2,16,La Sagrada Família 
1000,100,2,4,10,Sant Antoni 
2500,225,3,5,11,La Dreta de l'Eixample 
3000,134,2,3,22,La Dreta de l'Eixample 
1800,115,2,3,16,L'Antiga Esquerra de l'Eixample 
990,97,2,2,10,La Nova Esquerra de l'Eixample 
1590,135,2,5,12,La Dreta de l'Eixample 
2900,123,2,3,24,L'Antiga Esquerra de l'Eixample 
1300,65,1,2,20,La Dreta de l'Eixample 
950,50,1,2,19,La Dreta de l'Eixample 
3500,240,3,6,15,La Dreta de l'Eixample 
1400,120,2,3,12,L'Antiga Esquerra de l'Eixample 
1090,73,1,3,15,La Nova Esquerra de l'Eixample 
800,67,1,2,12,La Nova Esquerra de l'Eixample 
3500,200,2,2,18,La Dreta de l'Eixample 
824,55,1,1,15,L'Antiga Esquerra de l'Eixample 
900,80,1,2,11,La Sagrada Família 
2600,130,2,4,20,El Fort Pienc 
1390,82,2,3,17,L'Antiga Esquerra de l'Eixample 
1400,74,1,2,19,La Dreta de l'Eixample 
1750,114,2,3,15,La Dreta de l'Eixample 
1280,111,2,3,12,L'Antiga Esquerra de l'Eixample 
1050,55,1,2,19,La Nova Esquerra de l'Eixample 
1200,89,2,4,13,L'Antiga Esquerra de l'Eixample 
980,76,1,3,13,La Sagrada Família 
1550,100,2,3,16,La Dreta de l'Eixample 
1300,80,2,3,16,La Dreta de l'Eixample 
1480,105,2,4,14,L'Antiga Esquerra de l'Eixample 
1150,80,1,3,14,El Fort Pienc 
950,70,2,2,14,La Nova Esquerra de l'Eixample 
6200,230,2,2,27,L'Antiga Esquerra de l'Eixample 
1460,65,1,1,22,L'Antiga Esquerra de l'Eixample 
1400,102,2,4,14,La Sagrada Família 
1000,100,2,2,10,La Dreta de l'Eixample 
1300,125,2,4,10,La Nova Esquerra de l'Eixample 
1330,99,2,3,13,La Dreta de l'Eixample 
1500,106,2,3,14,La Dreta de l'Eixample 
1000,85,2,4,12,La Sagrada Família 
1200,125,2,4,10,La Nova Esquerra de l'Eixample 
2250,110,2,3,20,La Dreta de l'Eixample 
2800,200,2,5,14,La Dreta de l'Eixample 
800,55,1,1,15,La Sagrada Família 
