precio,superficie,baños,habitaciones,precio/metro,Barrio
1.100,80,2,2,14,La Dreta de l'Eixample 
2.200,104,2,3,21,La Dreta de l'Eixample 
1.000,78,2,4,13,La Sagrada Família 
1.800,65,2,2,28,La Dreta de l'Eixample 
1.100,90,2,3,12,El Fort Pienc 
900,64,1,2,14,L'Antiga Esquerra de l'Eixample 
1.950,138,2,4,14,La Dreta de l'Eixample 
1.350,120,1,3,11,La Nova Esquerra de l'Eixample 
999,75,1,3,13,L'Antiga Esquerra de l'Eixample 
950,60,1,2,16,La Sagrada Família 
675,50,1,1,14,El Fort Pienc 
1.450,80,1,2,18,La Dreta de l'Eixample 
2.300,100,2,3,23,Sant Antoni 
950,70,1,1,14,Sant Antoni 
1.500,114,2,4,13,L'Antiga Esquerra de l'Eixample 
1.700,140,2,4,12,La Dreta de l'Eixample 
995,90,1,3,11,L'Antiga Esquerra de l'Eixample 
1.750,85,1,2,21,La Dreta de l'Eixample 
1.100,64,1,2,17,La Nova Esquerra de l'Eixample 
1.150,71,2,3,16,Sant Antoni 
1.300,54,1,1,24,La Dreta de l'Eixample 
1.050,50,1,2,21,La Nova Esquerra de l'Eixample 
1.100,103,1,2,11,La Dreta de l'Eixample 
950,83,1,3,11,La Sagrada Família 
950,65,1,2,15,La Nova Esquerra de l'Eixample 
929,70,1,1,13,L'Antiga Esquerra de l'Eixample 
1.320,45,1,1,29,La Sagrada Família 
950,80,2,3,12,La Nova Esquerra de l'Eixample 
2.750,203,2,3,14,La Dreta de l'Eixample 
1.130,108,2,4,10,La Nova Esquerra de l'Eixample 
650,42,1,1,15,La Nova Esquerra de l'Eixample 
2.676,153,3,4,17,La Dreta de l'Eixample 
989,90,1,3,11,L'Antiga Esquerra de l'Eixample 
1.800,106,2,3,17,La Dreta de l'Eixample 
1.400,80,2,3,18,L'Antiga Esquerra de l'Eixample 
1.100,79,1,3,14,L'Antiga Esquerra de l'Eixample 
1.950,130,2,3,15,L'Antiga Esquerra de l'Eixample 
1.450,101,2,3,14,L'Antiga Esquerra de l'Eixample 
700,50,1,3,14,Sant Antoni 
1.000,68,1,1,15,El Fort Pienc 
1.900,140,2,3,14,La Dreta de l'Eixample 
1.500,80,2,3,19,El Fort Pienc 
750,35,1,1,21,La Nova Esquerra de l'Eixample 
1.200,76,1,2,16,La Dreta de l'Eixample 
1.200,105,2,3,11,L'Antiga Esquerra de l'Eixample 
1.250,119,2,3,11,La Dreta de l'Eixample 
2.950,180,2,4,16,La Dreta de l'Eixample 
1.100,80,1,3,14,Sant Antoni 
1.350,56,2,2,24,La Dreta de l'Eixample 
