precio,superficie,baños,habitaciones,precio/metro,Barrio
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
800,40,1,1,20,El Raval 
850,68,1,2,13,El Raval 
900,58,1,3,16,El Raval 
775,55,1,3,14,El Raval 
750,35,1,1,21,El Barri Gòtic 
800,50,1,1,16,El Barri Gòtic 
1.100,50,1,1,22,El Barri Gòtic 
950,65,1,2,15,Sant Pere-Santa Caterina-La Ribera 
800,34,1,1,24,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
1.000,60,1,2,17,El Raval 
650,34,1,1,19,La Barceloneta 
950,50,1,3,19,El Raval 
660,45,1,1,15,La Barceloneta 
850,50,1,1,17,El Raval 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
1.732,73,1,2,24,El Barri Gòtic 
600,33,1,1,18,La Barceloneta 
1.100,70,1,2,16,El Raval 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
800,34,1,1,24,La Barceloneta 
1.750,89,2,1,20,Sant Pere-Santa Caterina-La Ribera 
500,25,1,1,20,La Barceloneta 
900,70,1,2,13,El Raval 
990,65,1,2,15,El Barri Gòtic 
890,69,1,2,13,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
790,58,2,1,14,El Raval 
850,66,2,3,13,El Raval 
750,32,1,1,23,El Barri Gòtic 
5.700,100,2,3,57,Sant Pere-Santa Caterina-La Ribera 
800,45,1,1,18,El Barri Gòtic 
1.000,90,2,2,11,El Barri Gòtic 
800,59,1,2,14,El Barri Gòtic 
1.100,65,1,2,17,El Raval 
890,67,1,2,13,El Raval 
925,89,2,3,10,El Barri Gòtic 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
1.732,73,1,2,24,El Barri Gòtic 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
750,41,1,1,18,Sant Pere-Santa Caterina-La Ribera 
1.000,60,1,1,17,Sant Pere-Santa Caterina-La Ribera 
670,40,1,2,17,El Raval 
700,40,1,1,18,El Barri Gòtic 
1.090,70,1,2,16,El Barri Gòtic 
700,39,1,1,18,Sant Pere-Santa Caterina-La Ribera 
700,40,1,1,18,El Barri Gòtic 
800,45,1,1,18,El Raval 
675,45,1,1,15,El Barri Gòtic 
625,45,1,1,14,El Raval 
1.200,56,1,1,21,El Raval 
1.290,62,1,2,21,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
850,40,1,1,21,El Raval 
885,72,2,2,12,El Barri Gòtic 
670,48,1,1,14,El Raval 
900,48,1,1,19,El Barri Gòtic 
900,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
950,79,1,2,12,El Raval 
700,36,1,1,19,La Barceloneta 
700,35,1,1,20,La Barceloneta 
850,66,2,3,13,El Raval 
780,40,1,1,20,El Raval 
1.090,106,1,3,10,El Barri Gòtic 
850,66,2,3,13,El Raval 
800,51,1,1,16,El Raval 
690,26,1,1,27,El Barri Gòtic 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
670,40,1,2,17,El Raval 
1.300,57,1,2,23,Sant Pere-Santa Caterina-La Ribera 
600,38,1,1,16,Sant Pere-Santa Caterina-La Ribera 
1.700,110,2,1,15,El Barri Gòtic 
1.350,75,2,3,18,El Raval 
1.100,50,1,1,22,El Barri Gòtic 
1.700,151,2,2,11,Sant Pere-Santa Caterina-La Ribera 
700,39,1,1,18,Sant Pere-Santa Caterina-La Ribera 
850,62,2,1,14,El Barri Gòtic 
915,37,1,1,25,El Barri Gòtic 
950,80,1,3,12,El Raval 
1.732,73,1,2,24,El Barri Gòtic 
1.600,80,2,2,20,Sant Pere-Santa Caterina-La Ribera 
850,48,1,2,18,Sant Pere-Santa Caterina-La Ribera 
750,62,1,2,12,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
1.200,80,1,2,15,El Raval 
1.350,35,1,1,39,La Barceloneta 
900,62,1,2,15,El Barri Gòtic 
875,45,1,2,19,Sant Pere-Santa Caterina-La Ribera 
750,35,1,1,21,La Barceloneta 
1.200,90,2,4,13,El Barri Gòtic 
750,34,1,2,22,La Barceloneta 
2.100,170,2,4,12,El Raval 
2.000,109,3,3,18,El Raval 
2.047,75,1,2,27,El Barri Gòtic 
1.200,40,1,1,30,Sant Pere-Santa Caterina-La Ribera 
810,53,1,1,15,El Barri Gòtic 
650,31,1,1,21,La Barceloneta 
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
850,66,2,3,13,El Raval 
690,26,1,1,27,El Barri Gòtic 
690,51,1,1,14,El Raval 
700,56,1,2,13,El Raval 
1.100,70,1,2,16,El Raval 
900,70,1,2,13,El Raval 
1.000,60,1,2,17,El Raval 
600,60,1,1,10,El Barri Gòtic 
1.200,100,1,3,12,El Barri Gòtic 
900,65,1,2,14,El Raval 
790,65,1,3,12,Sant Pere-Santa Caterina-La Ribera 
750,45,1,2,17,El Barri Gòtic 
1.250,59,1,2,21,La Barceloneta 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
1.000,60,1,1,17,El Barri Gòtic 
1.100,67,1,3,16,El Barri Gòtic 
1.400,80,1,2,18,El Barri Gòtic 
750,47,1,1,16,El Raval 
1.200,75,1,2,16,El Barri Gòtic 
800,40,1,1,20,El Barri Gòtic 
1.400,80,2,2,18,El Barri Gòtic 
875,50,1,2,18,El Barri Gòtic 
2.000,95,2,3,21,El Barri Gòtic 
825,65,1,2,13,Sant Pere-Santa Caterina-La Ribera 
900,65,1,2,14,El Barri Gòtic 
800,40,1,1,20,La Barceloneta 
670,48,1,1,14,El Raval 
1.550,86,2,2,18,El Barri Gòtic 
850,66,2,3,13,El Raval 
800,40,1,1,20,La Barceloneta 
650,35,1,1,19,La Barceloneta 
900,70,1,3,13,El Raval 
950,80,1,3,12,El Raval 
800,50,1,1,16,La Barceloneta 
825,60,1,2,14,El Barri Gòtic 
750,45,1,2,17,El Barri Gòtic 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
1.090,108,1,1,10,El Barri Gòtic 
580,35,1,1,17,El Barri Gòtic 
1.050,70,2,3,15,La Barceloneta 
850,65,1,2,13,El Raval 
1.800,100,2,2,18,El Barri Gòtic 
1.000,60,1,2,17,El Raval 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
600,33,1,1,18,La Barceloneta 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
900,50,1,1,18,Sant Pere-Santa Caterina-La Ribera 
580,55,1,2,11,El Raval 
1.100,70,1,2,16,El Raval 
750,83,1,2,9,El Barri Gòtic 
1.050,100,1,2,11,El Barri Gòtic 
990,91,1,4,11,El Barri Gòtic 
780,50,1,1,16,El Raval 
790,65,1,3,12,Sant Pere-Santa Caterina-La Ribera 
690,60,1,1,12,El Raval 
950,67,1,4,14,La Barceloneta 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
1.500,85,2,3,18,El Barri Gòtic 
740,42,1,1,18,El Barri Gòtic 
1.100,70,1,2,16,El Raval 
690,26,1,1,27,El Barri Gòtic 
900,80,1,3,11,El Raval 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
1.100,70,1,2,16,El Raval 
1.200,85,2,2,14,Sant Pere-Santa Caterina-La Ribera 
600,33,1,1,18,La Barceloneta 
1.000,60,1,2,17,El Raval 
1.000,51,1,2,20,La Barceloneta 
1.100,65,1,2,17,El Barri Gòtic 
1.250,72,1,2,17,El Barri Gòtic 
900,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
1.000,70,3,2,14,Sant Pere-Santa Caterina-La Ribera 
860,34,1,1,25,Sant Pere-Santa Caterina-La Ribera 
1.100,70,2,2,16,El Raval 
1.050,75,1,3,14,El Barri Gòtic 
700,50,1,2,14,La Barceloneta 
1.500,121,2,2,12,Sant Pere-Santa Caterina-La Ribera 
1.625,77,2,2,21,El Barri Gòtic 
1.287,57,1,1,23,El Barri Gòtic 
1.190,72,2,2,17,Sant Pere-Santa Caterina-La Ribera 
1.100,70,1,2,16,El Raval 
750,55,2,1,14,Sant Pere-Santa Caterina-La Ribera 
820,60,1,2,14,El Barri Gòtic 
700,40,1,1,18,El Barri Gòtic 
650,39,1,1,17,El Raval 
1.000,40,1,1,25,Sant Pere-Santa Caterina-La Ribera 
1.250,67,2,2,19,El Barri Gòtic 
670,40,1,2,17,El Raval 
670,48,1,1,14,El Raval 
950,41,1,1,23,El Barri Gòtic 
850,66,2,3,13,El Raval 
1.500,80,2,3,19,Sant Pere-Santa Caterina-La Ribera 
950,80,1,3,12,El Raval 
1.000,60,1,2,17,El Raval 
890,65,1,2,14,El Barri Gòtic 
600,33,1,1,18,La Barceloneta 
1.000,60,1,2,17,El Raval 
1.246,61,2,2,20,Sant Pere-Santa Caterina-La Ribera 
900,48,1,1,19,El Barri Gòtic 
850,66,2,3,13,El Raval 
2.300,170,2,5,14,Sant Pere-Santa Caterina-La Ribera 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
688,40,1,1,17,El Raval 
1.900,99,2,2,19,El Barri Gòtic 
1.500,80,2,3,19,Sant Pere-Santa Caterina-La Ribera 
1.350,90,1,2,15,El Barri Gòtic 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
1.732,73,1,2,24,El Barri Gòtic 
1.100,90,1,1,12,Sant Pere-Santa Caterina-La Ribera 
850,55,1,1,15,Sant Pere-Santa Caterina-La Ribera 
795,52,1,1,15,Sant Pere-Santa Caterina-La Ribera 
1.100,55,1,1,20,El Barri Gòtic 
1.100,50,1,1,22,El Barri Gòtic 
890,77,2,3,12,El Barri Gòtic 
850,65,1,2,13,El Barri Gòtic 
700,50,1,1,14,El Barri Gòtic 
1.100,40,1,1,28,El Raval 
1.500,86,2,2,17,El Barri Gòtic 
600,33,1,1,18,La Barceloneta 
780,38,1,1,21,Sant Pere-Santa Caterina-La Ribera 
700,40,1,1,18,El Barri Gòtic 
699,45,1,1,16,El Raval 
730,57,1,3,13,Sant Pere-Santa Caterina-La Ribera 
940,75,1,4,13,La Barceloneta 
700,32,1,1,22,La Barceloneta 
1.150,60,1,2,19,El Barri Gòtic 
1.050,75,1,2,14,El Barri Gòtic 
2.500,171,3,3,15,El Barri Gòtic 
750,29,1,1,26,El Raval 
1.100,63,1,1,17,El Barri Gòtic 
2.400,162,2,4,15,Sant Pere-Santa Caterina-La Ribera 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
1.050,60,1,1,18,El Barri Gòtic 
2.820,100,2,3,28,El Barri Gòtic 
890,55,1,2,16,El Barri Gòtic 
1.650,90,2,2,18,El Barri Gòtic 
700,50,1,1,14,El Barri Gòtic 
650,40,1,1,16,El Raval 
1.750,105,2,4,17,El Barri Gòtic 
950,57,1,3,17,La Barceloneta 
1.050,106,1,2,10,El Barri Gòtic 
1.250,59,1,2,21,La Barceloneta 
1.400,80,1,3,18,Sant Pere-Santa Caterina-La Ribera 
690,26,1,1,27,El Barri Gòtic 
800,53,1,2,15,El Raval 
1.500,62,2,2,24,Sant Pere-Santa Caterina-La Ribera 
990,40,2,2,25,El Raval 
900,30,1,1,30,El Barri Gòtic 
1.100,85,1,3,13,El Raval 
1.350,112,2,5,12,El Raval 
700,40,1,1,18,Sant Pere-Santa Caterina-La Ribera 
1.100,60,1,1,18,Sant Pere-Santa Caterina-La Ribera 
1.095,124,2,4,9,El Raval 
1.700,62,1,2,27,El Barri Gòtic 
660,45,1,1,15,La Barceloneta 
1.500,116,2,5,13,El Barri Gòtic 
900,68,1,2,13,Sant Pere-Santa Caterina-La Ribera 
1.050,45,1,2,23,El Raval 
1.150,90,2,4,13,El Barri Gòtic 
650,30,1,1,22,El Raval 
800,53,1,3,15,Sant Pere-Santa Caterina-La Ribera 
975,65,1,2,15,El Barri Gòtic 
760,38,1,1,20,La Barceloneta 
1.200,90,2,4,13,El Barri Gòtic 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
900,40,1,1,23,El Raval 
1.100,50,1,1,22,El Barri Gòtic 
875,50,1,2,18,El Raval 
1.000,70,1,2,14,El Barri Gòtic 
950,77,1,3,12,El Barri Gòtic 
800,58,1,2,14,Sant Pere-Santa Caterina-La Ribera 
925,55,1,1,17,Sant Pere-Santa Caterina-La Ribera 
875,38,1,2,23,La Barceloneta 
650,30,1,1,22,El Raval 
950,90,2,3,11,El Raval 
950,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
850,53,1,1,16,El Barri Gòtic 
1.100,50,1,1,22,El Barri Gòtic 
1.100,163,2,3,7,El Barri Gòtic 
1.450,125,2,3,12,Sant Pere-Santa Caterina-La Ribera 
990,50,1,1,20,El Raval 
800,40,1,1,20,El Raval 
1.350,80,2,2,17,El Barri Gòtic 
1.400,110,2,3,13,El Barri Gòtic 
600,35,1,1,17,Sant Pere-Santa Caterina-La Ribera 
1.000,92,1,1,11,El Raval 
960,65,2,2,15,El Raval 
700,32,1,1,22,La Barceloneta 
1.100,50,1,1,22,El Barri Gòtic 
1.700,98,2,2,17,El Barri Gòtic 
2.900,130,1,1,22,El Barri Gòtic 
1.450,112,2,5,13,El Raval 
920,60,1,2,15,El Barri Gòtic 
900,100,1,2,9,El Barri Gòtic 
950,70,2,2,14,El Raval 
700,40,1,1,18,El Barri Gòtic 
670,40,1,2,17,El Raval 
700,49,1,1,14,El Barri Gòtic 
660,45,1,1,15,La Barceloneta 
880,55,1,3,16,Sant Pere-Santa Caterina-La Ribera 
1.250,79,1,2,16,La Barceloneta 
1.150,61,1,2,19,El Barri Gòtic 
850,49,2,1,17,El Raval 
1.000,86,1,1,12,El Barri Gòtic 
1.350,62,1,2,22,El Barri Gòtic 
950,89,1,1,11,La Barceloneta 
900,80,1,2,11,El Barri Gòtic 
1.950,160,2,3,12,Sant Pere-Santa Caterina-La Ribera 
850,68,1,2,13,El Raval 
575,40,1,1,14,Sant Pere-Santa Caterina-La Ribera 
840,40,1,1,21,El Raval 
900,73,2,2,12,Sant Pere-Santa Caterina-La Ribera 
1.732,73,1,2,24,El Barri Gòtic 
700,32,1,1,22,La Barceloneta 
670,40,1,2,17,El Raval 
1.100,52,1,1,21,El Barri Gòtic 
1.195,94,1,3,13,Sant Pere-Santa Caterina-La Ribera 
750,44,1,1,17,El Raval 
900,62,1,2,15,El Barri Gòtic 
525,33,1,1,16,El Barri Gòtic 
900,78,1,3,12,Sant Pere-Santa Caterina-La Ribera 
1.800,109,3,3,17,El Raval 
1.300,90,2,3,14,El Barri Gòtic 
675,35,1,1,19,El Raval 
650,35,1,1,19,La Barceloneta 
1.100,50,1,1,22,El Barri Gòtic 
1.000,50,1,2,20,La Barceloneta 
900,60,1,2,15,El Barri Gòtic 
780,55,1,1,14,El Raval 
